时间戳(秒),样本编号,延迟(纳秒),延迟(微秒),当前任务,PID,CPU,硬中断上下文
23844.568394,833,3379,3.379,swapper/1,0,1,1
23844.578408,834,14045,14.045,swapper/1,0,1,1
23844.588411,835,16962,16.962,swapper/1,0,1,1
23844.598410,836,16254,16.254,swapper/1,0,1,1
23844.608408,837,14545,14.545,swapper/1,0,1,1
23844.618412,838,17420,17.420,swapper/1,0,1,1
23844.628410,839,15504,15.504,swapper/1,0,1,1
23844.638408,840,14379,14.379,swapper/1,0,1,1
23844.648409,841,15670,15.670,swapper/1,0,1,1
23844.658410,842,15712,15.712,swapper/1,0,1,1
23844.668410,843,16254,16.254,swapper/1,0,1,1
23844.678411,844,16920,16.920,swapper/1,0,1,1
23844.688410,845,15296,15.296,swapper/1,0,1,1
23844.698410,846,15837,15.837,swapper/1,0,1,1
23844.708410,847,16004,16.004,swapper/1,0,1,1
23844.718411,848,16754,16.754,swapper/1,0,1,1
23844.728407,849,12587,12.587,swapper/1,0,1,1
23844.738409,850,15504,15.504,swapper/1,0,1,1
23844.748407,851,14379,14.379,swapper/1,0,1,1
23844.758400,852,8046,8.046,swapper/1,0,1,1
23844.768406,853,12712,12.712,swapper/1,0,1,1
23844.778401,854,7462,7.462,swapper/1,0,1,1
23844.788396,855,4379,4.379,swapper/1,0,1,1
23844.798395,856,4379,4.379,swapper/1,0,1,1
23844.808396,857,4546,4.546,swapper/1,0,1,1
23844.818395,858,4087,4.087,swapper/1,0,1,1
23844.828394,859,3379,3.379,swapper/1,0,1,1
23844.838395,860,3879,3.879,swapper/1,0,1,1
23844.848394,861,3462,3.462,swapper/1,0,1,1
23844.858395,862,4254,4.254,swapper/1,0,1,1
23844.868395,863,4379,4.379,swapper/1,0,1,1
23844.878394,864,3504,3.504,swapper/1,0,1,1
23844.888393,865,3046,3.046,swapper/1,0,1,1
23844.898394,866,3254,3.254,swapper/1,0,1,1
23844.908394,867,3546,3.546,swapper/1,0,1,1
23844.918394,868,3754,3.754,swapper/1,0,1,1
23844.928394,869,3087,3.087,swapper/1,0,1,1
23844.938395,870,3962,3.962,swapper/1,0,1,1
23844.948394,871,3629,3.629,swapper/1,0,1,1
23844.958394,872,2921,2.921,swapper/1,0,1,1
23844.968395,873,3712,3.712,swapper/1,0,1,1
23844.978397,874,4671,4.671,swapper/1,0,1,1
23844.988394,875,3379,3.379,swapper/1,0,1,1
23844.998394,876,3462,3.462,swapper/1,0,1,1
23845.008394,877,3504,3.504,swapper/1,0,1,1
23845.018393,878,3296,3.296,swapper/1,0,1,1
23845.028393,879,3087,3.087,swapper/1,0,1,1
23845.038393,880,3171,3.171,swapper/1,0,1,1
23845.048394,881,3421,3.421,swapper/1,0,1,1
23845.058394,882,3212,3.212,swapper/1,0,1,1
23845.068395,883,4337,4.337,swapper/1,0,1,1
23845.078394,884,3421,3.421,swapper/1,0,1,1
23845.088393,885,3046,3.046,swapper/1,0,1,1
23845.098393,886,3004,3.004,swapper/1,0,1,1
23845.108394,887,3379,3.379,swapper/1,0,1,1
23845.118393,888,2879,2.879,swapper/1,0,1,1
23845.128393,889,2962,2.962,swapper/1,0,1,1
23845.138394,890,3379,3.379,swapper/1,0,1,1
23845.148394,891,3254,3.254,swapper/1,0,1,1
23845.158394,892,3462,3.462,swapper/1,0,1,1
23845.168394,893,3337,3.337,swapper/1,0,1,1
23845.178394,894,3379,3.379,swapper/1,0,1,1
23845.188394,895,3712,3.712,swapper/1,0,1,1
23845.198394,896,3379,3.379,swapper/1,0,1,1
23845.208393,897,3129,3.129,swapper/1,0,1,1
23845.218394,898,3254,3.254,swapper/1,0,1,1
23845.228393,899,3087,3.087,swapper/1,0,1,1
23845.238394,900,3462,3.462,swapper/1,0,1,1
23845.248393,901,2962,2.962,swapper/1,0,1,1
23845.258394,902,3296,3.296,swapper/1,0,1,1
23845.268394,903,3171,3.171,swapper/1,0,1,1
23845.278393,904,3129,3.129,swapper/1,0,1,1
23845.288393,905,3254,3.254,swapper/1,0,1,1
23845.298394,906,3671,3.671,swapper/1,0,1,1
23845.308393,907,2879,2.879,swapper/1,0,1,1
23845.318393,908,2879,2.879,swapper/1,0,1,1
23845.328407,909,13212,13.212,swapper/1,0,1,1
23845.338411,910,16254,16.254,swapper/1,0,1,1
23845.348408,911,14421,14.421,swapper/1,0,1,1
23845.358408,912,13754,13.754,swapper/1,0,1,1
23845.368405,913,12379,12.379,swapper/1,0,1,1
23845.378410,914,16087,16.087,swapper/1,0,1,1
23845.388400,915,7088,7.088,swapper/1,0,1,1
23845.398396,916,4588,4.588,swapper/1,0,1,1
23845.408396,917,4421,4.421,swapper/1,0,1,1
23845.418394,918,3796,3.796,swapper/1,0,1,1
23845.428395,919,4129,4.129,swapper/1,0,1,1
23845.438394,920,3421,3.421,swapper/1,0,1,1
23845.448394,921,3754,3.754,swapper/1,0,1,1
23845.458395,922,5004,5.004,swapper/1,0,1,1
23845.468394,923,3213,3.213,swapper/1,0,1,1
23845.478393,924,3129,3.129,swapper/1,0,1,1
23845.488393,925,2921,2.921,swapper/1,0,1,1
23845.498393,926,3046,3.046,swapper/1,0,1,1
23845.508394,927,3338,3.338,swapper/1,0,1,1
23845.518393,928,3171,3.171,swapper/1,0,1,1
23845.528393,929,3213,3.213,swapper/1,0,1,1
23845.538394,930,3338,3.338,swapper/1,0,1,1
23845.548394,931,3463,3.463,swapper/1,0,1,1
23845.558394,932,3296,3.296,swapper/1,0,1,1
23845.568394,933,3171,3.171,swapper/1,0,1,1
23845.578393,934,2838,2.838,swapper/1,0,1,1
23845.588393,935,3046,3.046,swapper/1,0,1,1
23845.598394,936,3213,3.213,swapper/1,0,1,1
23845.608393,937,2963,2.963,swapper/1,0,1,1
23845.618395,938,3921,3.921,swapper/1,0,1,1
23845.628394,939,3504,3.504,swapper/1,0,1,1
23845.638394,940,3379,3.379,swapper/1,0,1,1
23845.648394,941,3504,3.504,swapper/1,0,1,1
23845.658393,942,3088,3.088,swapper/1,0,1,1
23845.668394,943,3254,3.254,swapper/1,0,1,1
23845.678394,944,3129,3.129,swapper/1,0,1,1
23845.688393,945,2879,2.879,swapper/1,0,1,1
23845.698393,946,3171,3.171,swapper/1,0,1,1
23845.708393,947,3004,3.004,swapper/1,0,1,1
23845.718394,948,3463,3.463,swapper/1,0,1,1
23845.728394,949,3379,3.379,swapper/1,0,1,1
23845.738393,950,2879,2.879,swapper/1,0,1,1
23845.748393,951,3046,3.046,swapper/1,0,1,1
23845.758394,952,3213,3.213,swapper/1,0,1,1
23845.768393,953,3129,3.129,swapper/1,0,1,1
23845.778394,954,3879,3.879,swapper/1,0,1,1
23845.788393,955,3004,3.004,swapper/1,0,1,1
23845.798393,956,3213,3.213,swapper/1,0,1,1
23845.808393,957,3004,3.004,swapper/1,0,1,1
23845.818394,958,3088,3.088,swapper/1,0,1,1
23845.828393,959,3088,3.088,swapper/1,0,1,1
23845.838394,960,3921,3.921,swapper/1,0,1,1
23845.848394,961,3254,3.254,swapper/1,0,1,1
23845.858393,962,3213,3.213,swapper/1,0,1,1
23845.868394,963,3421,3.421,swapper/1,0,1,1
23845.878394,964,3588,3.588,swapper/1,0,1,1
23845.888393,965,3088,3.088,swapper/1,0,1,1
23845.898393,966,2879,2.879,swapper/1,0,1,1
23845.908394,967,3546,3.546,swapper/1,0,1,1
23845.918393,968,2838,2.838,swapper/1,0,1,1
23845.928394,969,3671,3.671,swapper/1,0,1,1
23845.938395,970,4296,4.296,swapper/1,0,1,1
23845.948394,971,3504,3.504,swapper/1,0,1,1
23845.958394,972,3754,3.754,swapper/1,0,1,1
23845.968396,973,4129,4.129,swapper/1,0,1,1
23845.978394,974,3254,3.254,swapper/1,0,1,1
23845.988394,975,3379,3.379,swapper/1,0,1,1
23845.998393,976,3088,3.088,swapper/1,0,1,1
23846.008393,977,3296,3.296,swapper/1,0,1,1
23846.018393,978,3129,3.129,swapper/1,0,1,1
23846.028394,979,3421,3.421,swapper/1,0,1,1
23846.038393,980,2963,2.963,swapper/1,0,1,1
23846.048393,981,3046,3.046,swapper/1,0,1,1
23846.058394,982,3504,3.504,swapper/1,0,1,1
23846.068394,983,3629,3.629,swapper/1,0,1,1
23846.078394,984,3421,3.421,swapper/1,0,1,1
23846.088394,985,3421,3.421,swapper/1,0,1,1
23846.098395,986,3796,3.796,swapper/1,0,1,1
23846.108395,987,3671,3.671,swapper/1,0,1,1
23846.118393,988,3088,3.088,swapper/1,0,1,1
23846.128393,989,3213,3.213,swapper/1,0,1,1
23846.138394,990,3005,3.005,swapper/1,0,1,1
23846.148393,991,3130,3.130,swapper/1,0,1,1
23846.158393,992,3088,3.088,swapper/1,0,1,1
23846.168394,993,3088,3.088,swapper/1,0,1,1
23846.178394,994,3671,3.671,swapper/1,0,1,1
23846.188393,995,3380,3.380,swapper/1,0,1,1
23846.198394,996,3380,3.380,swapper/1,0,1,1
